Month,Year,PRODUCTS,TRADE,"Quantity (000 Metric Tonnes)","Value in Rupees (Crore)","Value in Dollars (Million US dollar)",date_updated
July,2022,LPG,Export,41.72,312.20,39.30,"2024-02-21 04:02:12"
July,2022,MS!,Export,1073.74,9095.55,1141.20,"2024-02-21 04:02:12"
July,2022,Naphtha$,Export,354.59,2168.29,272.99,"2024-02-21 04:02:12"
July,2022,ATF#,Export,582.87,5085.64,639.78,"2024-02-21 04:02:12"
July,2022,SKO,Export,0.96,10.86,1.37,"2024-02-21 04:02:12"
July,2022,HSD,Export,2146.43,19133.38,2403.71,"2024-02-21 04:02:12"
July,2022,LDO,Export,0.12,1.18,0.15,"2024-02-21 04:02:12"
July,2022,"LOBS/ Lube Oil",Export,0.78,13.01,1.64,"2024-02-21 04:02:12"
July,2022,"Fuel Oil",Export,186.18,722.89,90.29,"2024-02-21 04:02:12"
July,2022,Bitumen,Export,0.05,0.25,0.03,"2024-02-21 04:02:12"
July,2022,"Petcoke / CBFS",Export,11.00,35.27,4.41,"2024-02-21 04:02:12"
July,2022,Others%,Export,213.67,1515.66,189.29,"2024-02-21 04:02:12"
July,2022,"TOTAL  PRODUCT EXPORT",Export,4612.12,38094.18,4784.13,"2024-02-21 04:02:12"
July,2022,"NET IMPORT",Export,19744.17,110525.18,13984.78,"2024-02-21 04:02:12"
August,2022,"CRUDE OIL",Import,17637.21,104567.31,13107.36,"2024-02-21 04:02:12"
August,2022,LPG,Import,1573.95,8569.86,1075.18,"2024-02-21 04:02:12"
August,2022,MS,Import,0.00,0.14,0.02,"2024-02-21 04:02:12"
August,2022,Naphtha,Import,89.85,475.25,59.67,"2024-02-21 04:02:12"
August,2022,ATF,Import,,,,"2024-02-21 04:02:12"
August,2022,HSD,Import,7.86,86.04,10.81,"2024-02-21 04:02:12"
August,2022,"LOBS/ Lube oil",Import,165.02,1616.93,203.23,"2024-02-21 04:02:12"
August,2022,"Fuel Oil",Import,702.33,2952.61,370.37,"2024-02-21 04:02:12"
August,2022,Bitumen,Import,68.29,236.91,29.78,"2024-02-21 04:02:12"
August,2022,Petcoke,Import,465.98,1351.02,169.82,"2024-02-21 04:02:12"
August,2022,Others&,Import,164.76,1120.12,141.00,"2024-02-21 04:02:12"
August,2022,"PRODUCT IMPORT*",Import,3238.03,16408.88,2059.89,"2024-02-21 04:02:12"
August,2022,"TOTAL IMPORT",Import,20875.24,120976.20,15167.26,"2024-02-21 04:02:12"
August,2022,LPG,Export,39.62,287.66,36.12,"2024-02-21 04:02:12"
August,2022,MS!,Export,1019.35,7325.37,916.82,"2024-02-21 04:02:12"
August,2022,Naphtha$,Export,413.79,2274.91,285.59,"2024-02-21 04:02:12"
August,2022,ATF#,Export,744.93,6365.60,799.78,"2024-02-21 04:02:12"
August,2022,SKO,Export,0.47,4.59,0.58,"2024-02-21 04:02:12"
August,2022,HSD,Export,2365.09,19619.72,2470.62,"2024-02-21 04:02:12"
August,2022,LDO,Export,0.08,0.74,0.09,"2024-02-21 04:02:12"
August,2022,"LOBS/ Lube Oil",Export,0.47,8.03,1.01,"2024-02-21 04:02:12"
August,2022,"Fuel Oil",Export,221.40,1046.97,131.00,"2024-02-21 04:02:12"
August,2022,Bitumen,Export,0.02,0.10,0.01,"2024-02-21 04:02:12"
August,2022,"Petcoke / CBFS",Export,38.50,32.76,4.14,"2024-02-21 04:02:12"
August,2022,Others%,Export,398.13,1722.70,215.61,"2024-02-21 04:02:12"
August,2022,"TOTAL  PRODUCT EXPORT",Export,5241.85,38689.15,4861.37,"2024-02-21 04:02:12"
August,2022,"NET IMPORT",Export,15633.40,82287.04,10305.88,"2024-02-21 04:02:12"
September,2022,"CRUDE OIL",Import,16772.21,95157.74,11827.31,"2024-02-21 04:02:12"
